frame,actor1_x,actor1_y,actor1_o,actor2_x,actor2_y,actor2_o,ball_x,ball_y,ball_o
0,312.30403630756683,728.1000000014903,1.0216094325620654e-15,766.4760708384063,728.1000000014903,3.519697203512003e-15,344.0,689.0,0.0
1,312.30403630756683,728.1000000014903,1.0240507367855462e-15,766.4760708384063,728.1000000014903,3.519825543100848e-15,344.0,689.0,0.0
2,312.30403630756683,728.1000000014903,1.0260294480821e-15,766.4760708384063,728.1000000014903,3.519953882689693e-15,344.0,689.0,0.0
3,312.30403630756683,728.1000000014903,1.0275455664517264e-15,766.4760708384063,728.1000000014903,3.520082222278538e-15,344.0,689.0,0.0
4,312.30403630756683,728.1000000014903,1.0285990918944258e-15,766.4760708384063,728.1000000014903,3.5202105618673832e-15,344.0,689.0,0.0
5,312.30403630756683,728.1000000014903,1.029190024410198e-15,766.4760708384063,728.1000000014903,3.5203389014562283e-15,344.0,689.0,0.0
6,312.30403630756683,728.1000000014903,1.0287619672403113e-15,766.4760708384063,728.1000000014903,3.5204672410450734e-15,344.0,689.0,0.0
7,312.30403630756683,728.1000000014903,1.0285215177340338e-15,766.4760708384063,728.1000000014903,3.5205955806339184e-15,344.0,689.0,0.0
8,312.30403630756683,728.1000000014903,1.0277246714690247e-15,766.4760708384063,728.1000000014903,3.5207239202227635e-15,344.0,689.0,0.0
9,312.30403630756683,728.1000000014903,1.0259088355183567e-15,766.4760708384063,728.1000000014903,3.5208522598116086e-15,344.0,689.0,0.0
10,312.30403630756683,728.1000000014903,1.0242806072312976e-15,766.4760708384063,728.1000000014903,3.5209805994004536e-15,344.0,689.0,0.0
11,312.30403630756683,728.1000000014903,1.022095982185507e-15,766.4760708384063,728.1000000014903,3.5211089389892987e-15,344.0,689.0,0.0
12,312.30403630756683,728.1000000014903,1.0203903587275657e-15,766.4760708384063,728.1000000014903,3.5212372785781438e-15,344.0,689.0,0.0
13,312.30403630756683,728.1000000014903,1.0191309195356294e-15,766.4760708384063,728.1000000014903,3.521365618166989e-15,344.0,689.0,0.0
14,312.30403630756683,728.1000000014903,1.018890470029352e-15,766.4760708384063,728.1000000014903,3.521493957755834e-15,344.0,689.0,0.0
