frame,actor1_x,actor1_y,actor1_o,actor2_x,actor2_y,actor2_o,ball_x,ball_y,ball_o
0,110.64520309261898,728.1000000014903,2.27343973267225e-15,866.9829560783194,728.1000000014903,3.53227448321882e-15,144.0,697.0,0.0
1,110.64520309261898,728.1000000014903,2.2717177005533865e-15,866.9829560783194,728.1000000014903,3.532402822807665e-15,144.0,697.0,0.0
2,110.64520309261898,728.1000000014903,2.269995668434523e-15,866.9829560783194,728.1000000014903,3.53253116239651e-15,144.0,697.0,0.0
3,110.64520309261898,728.1000000014903,2.2682736363156597e-15,866.9829560783194,728.1000000014903,3.5326595019853552e-15,144.0,697.0,0.0
4,110.64520309261898,728.1000000014903,2.2665516041967962e-15,866.9829560783194,728.1000000014903,3.5327878415742003e-15,144.0,697.0,0.0
5,110.64520309261898,728.1000000014903,2.264829572077933e-15,866.9829560783194,728.1000000014903,3.5329161811630454e-15,144.0,697.0,0.0
6,110.64520309261898,728.1000000014903,2.2631075399590694e-15,866.9829560783194,728.1000000014903,3.5330445207518904e-15,144.0,697.0,0.0
7,110.64520309261898,728.1000000014903,2.261385507840206e-15,866.9829560783194,728.1000000014903,3.5331728603407355e-15,144.0,697.0,0.0
8,110.64520309261898,728.1000000014903,2.2596634757213426e-15,866.9829560783194,728.1000000014903,3.5333011999295806e-15,144.0,697.0,0.0
9,110.64520309261898,728.1000000014903,2.257941443602479e-15,866.9829560783194,728.1000000014903,3.5334295395184257e-15,144.0,697.0,0.0
10,110.64520309261898,728.1000000014903,2.2562194114836157e-15,866.9829560783194,728.1000000014903,3.5335578791072707e-15,144.0,697.0,0.0
11,110.64520309261898,728.1000000014903,2.2544973793647523e-15,866.9829560783194,728.1000000014903,3.5336862186961158e-15,144.0,697.0,0.0
12,110.64520309261898,728.1000000014903,2.252775347245889e-15,866.9829560783194,728.1000000014903,3.533814558284961e-15,144.0,697.0,0.0
13,110.64520309261898,728.1000000014903,2.2510533151270255e-15,866.9829560783194,728.1000000014903,3.533942897873806e-15,144.0,697.0,0.0
14,110.64520309261898,728.1000000014903,2.249331283008162e-15,866.9829560783194,728.1000000014903,3.534071237462651e-15,144.0,697.0,0.0
15,110.64520309261898,728.1000000014903,2.2476092508892987e-15,866.9829560783194,728.1000000014903,3.534199577051496e-15,144.0,697.0,0.0
16,110.64520309261898,728.1000000014903,2.2458872187704352e-15,866.9829560783194,728.1000000014903,3.534327916640341e-15,144.0,697.0,0.0
17,110.64520309261898,728.1000000014903,2.244165186651572e-15,866.9829560783194,728.1000000014903,3.5344562562291862e-15,144.0,697.0,0.0
18,110.64520309261898,728.1000000014903,2.2424431545327084e-15,866.9829560783194,728.1000000014903,3.5345845958180313e-15,144.0,697.0,0.0
19,110.64520309261898,728.1000000014903,2.240721122413845e-15,866.9829560783194,728.1000000014903,3.5347129354068764e-15,144.0,697.0,0.0
20,110.64520309261898,728.1000000014903,2.2389990902949816e-15,866.9829560783194,728.1000000014903,3.5348412749957214e-15,144.0,697.0,0.0
21,110.64520309261898,728.1000000014903,2.237277058176118e-15,866.9829560783194,728.1000000014903,3.5349696145845665e-15,144.0,697.0,0.0
22,110.64520309261898,728.1000000014903,2.2355550260572547e-15,866.9829560783194,728.1000000014903,3.5350979541734116e-15,144.0,697.0,0.0
23,110.64520309261898,728.1000000014903,2.2338329939383913e-15,866.9829560783194,728.1000000014903,3.5352262937622567e-15,144.0,697.0,0.0
24,110.64520309261898,728.1000000014903,2.232110961819528e-15,866.9829560783194,728.1000000014903,3.5353546333511017e-15,144.0,697.0,0.0
25,110.64520309261898,728.1000000014903,2.2303889297006645e-15,866.9829560783194,728.1000000014903,3.535482972939947e-15,144.0,697.0,0.0
26,110.64520309261898,728.1000000014903,2.228666897581801e-15,866.9829560783194,728.1000000014903,3.535611312528792e-15,144.0,697.0,0.0
27,110.64520309261898,728.1000000014903,2.2269448654629377e-15,866.9829560783194,728.1000000014903,3.535739652117637e-15,144.0,697.0,0.0
28,110.64520309261898,728.1000000014903,2.2252228333440742e-15,866.9829560783194,728.1000000014903,3.535867991706482e-15,144.0,697.0,0.0
29,110.64520309261898,728.1000000014903,2.223500801225211e-15,866.9829560783194,728.1000000014903,3.535996331295327e-15,144.0,697.0,0.0
30,110.64520309261898,728.1000000014903,2.2217787691063474e-15,866.9829560783194,728.1000000014903,3.536124670884172e-15,144.0,697.0,0.0
31,110.64520309261898,728.1000000014903,2.220056736987484e-15,866.9829560783194,728.1000000014903,3.5362530104730172e-15,144.0,697.0,0.0
32,110.64520309261898,728.1000000014903,2.2183347048686206e-15,866.9829560783194,728.1000000014903,3.5363813500618623e-15,144.0,697.0,0.0
33,110.64520309261898,728.1000000014903,2.216612672749757e-15,866.9829560783194,728.1000000014903,3.5365096896507074e-15,144.0,697.0,0.0
34,110.64520309261898,728.1000000014903,2.2148906406308937e-15,866.9829560783194,728.1000000014903,3.5366380292395525e-15,144.0,697.0,0.0
35,110.64520309261898,728.1000000014903,2.2131686085120303e-15,866.9829560783194,728.1000000014903,3.5367663688283975e-15,144.0,697.0,0.0
36,110.64520309261898,728.1000000014903,2.211446576393167e-15,866.9829560783194,728.1000000014903,3.5368947084172426e-15,144.0,697.0,0.0
37,110.64520309261898,728.1000000014903,2.2097245442743035e-15,866.9829560783194,728.1000000014903,3.5370230480060877e-15,144.0,697.0,0.0
38,110.64520309261898,728.1000000014903,2.20800251215544e-15,866.9829560783194,728.1000000014903,3.5371513875949327e-15,144.0,697.0,0.0
39,110.64520309261898,728.1000000014903,2.2062804800365767e-15,866.9829560783194,728.1000000014903,3.537279727183778e-15,144.0,697.0,0.0
40,110.64520309261898,728.1000000014903,2.2045584479177132e-15,866.9829560783194,728.1000000014903,3.537408066772623e-15,144.0,697.0,0.0
41,110.64520309261898,728.1000000014903,2.20283641579885e-15,866.9829560783194,728.1000000014903,3.537536406361468e-15,144.0,697.0,0.0
42,110.64520309261898,728.1000000014903,2.2011143836799864e-15,866.9829560783194,728.1000000014903,3.537664745950313e-15,144.0,697.0,0.0
43,110.64520309261898,728.1000000014903,2.199392351561123e-15,866.9829560783194,728.1000000014903,3.537793085539158e-15,144.0,697.0,0.0
44,110.64520309261898,728.1000000014903,2.1976703194422596e-15,866.9829560783194,728.1000000014903,3.537921425128003e-15,144.0,697.0,0.0
45,110.64520309261898,728.1000000014903,2.195948287323396e-15,866.9829560783194,728.1000000014903,3.5380497647168483e-15,144.0,697.0,0.0
46,110.64520309261898,728.1000000014903,2.1942262552045327e-15,866.9829560783194,728.1000000014903,3.5381781043056933e-15,144.0,697.0,0.0
47,110.64520309261898,728.1000000014903,2.1925042230856693e-15,866.9829560783194,728.1000000014903,3.5383064438945384e-15,144.0,697.0,0.0
48,110.64520309261898,728.1000000014903,2.190782190966806e-15,866.9829560783194,728.1000000014903,3.5384347834833835e-15,144.0,697.0,0.0
49,110.64520309261898,728.1000000014903,2.1890601588479425e-15,866.9829560783194,728.1000000014903,3.5385631230722285e-15,144.0,697.0,0.0
50,110.64520309261898,728.1000000014903,2.187338126729079e-15,866.9829560783194,728.1000000014903,3.5386914626610736e-15,144.0,697.0,0.0
51,110.64520309261898,728.1000000014903,2.1856160946102157e-15,866.9829560783194,728.1000000014903,3.5388198022499187e-15,144.0,697.0,0.0
52,110.64520309261898,728.1000000014903,2.1838940624913522e-15,866.9829560783194,728.1000000014903,3.5389481418387638e-15,144.0,697.0,0.0
53,110.64520309261898,728.1000000014903,2.182172030372489e-15,866.9829560783194,728.1000000014903,3.539076481427609e-15,144.0,697.0,0.0
54,110.64520309261898,728.1000000014903,2.1804499982536254e-15,866.9829560783194,728.1000000014903,3.539204821016454e-15,144.0,697.0,0.0
55,110.64520309261898,728.1000000014903,2.178727966134762e-15,866.9829560783194,728.1000000014903,3.539333160605299e-15,144.0,697.0,0.0
56,110.64520309261898,728.1000000014903,2.1770059340158986e-15,866.9829560783194,728.1000000014903,3.539461500194144e-15,144.0,697.0,0.0
57,110.64520309261898,728.1000000014903,2.175283901897035e-15,866.9829560783194,728.1000000014903,3.539589839782989e-15,144.0,697.0,0.0
58,110.64520309261898,728.1000000014903,2.1735618697781717e-15,866.9829560783194,728.1000000014903,3.539718179371834e-15,144.0,697.0,0.0
59,110.64520309261898,728.1000000014903,2.1718398376593083e-15,866.9829560783194,728.1000000014903,3.5398465189606793e-15,144.0,697.0,0.0
60,110.64520309261898,728.1000000014903,2.170117805540445e-15,866.9829560783194,728.1000000014903,3.5399748585495243e-15,144.0,697.0,0.0
61,110.64520309261898,728.1000000014903,2.1683957734215815e-15,866.9829560783194,728.1000000014903,3.5401031981383694e-15,144.0,697.0,0.0
62,110.64520309261898,728.1000000014903,2.166673741302718e-15,866.9829560783194,728.1000000014903,3.5402315377272145e-15,144.0,697.0,0.0
63,110.64520309261898,728.1000000014903,2.1649517091838547e-15,866.9829560783194,728.1000000014903,3.5403598773160596e-15,144.0,697.0,0.0
64,110.64520309261898,728.1000000014903,2.1632296770649912e-15,866.9829560783194,728.1000000014903,3.5404882169049046e-15,144.0,697.0,0.0
65,110.64520309261898,728.1000000014903,2.161507644946128e-15,866.9829560783194,728.1000000014903,3.5406165564937497e-15,144.0,697.0,0.0
66,110.64520309261898,728.1000000014903,2.1597856128272644e-15,866.9829560783194,728.1000000014903,3.5407448960825948e-15,144.0,697.0,0.0
