frame,actor1_x,actor1_y,actor2_x,actor2_y,ball_x,ball_y
0,200.50007947319943,697.9356533097355,800.8721810033094,698.0550064619314,237.0,645.0
1,200.5000794731962,697.9356533097344,800.8721810033094,698.0550064619314,237.0,645.0
2,200.50007947319358,697.9356533097337,800.8721810033094,698.0550064619314,237.0,645.0
3,200.50007947319145,697.935653309733,800.8721810033094,698.0550064619314,237.0,645.0
4,200.50007947318974,697.9356533097324,800.8721810033094,698.0550064619314,237.0,645.0
5,200.50007947318835,697.935653309732,800.8721810033094,698.0550064619314,237.0,645.0
6,200.5000794731872,697.9356533097316,800.8721810033094,698.0550064619314,237.0,645.0
7,200.5000794731863,697.9356533097313,800.8721810033094,698.0550064619314,237.0,645.0
8,200.50007947318556,697.935653309731,800.8721810033094,698.0550064619314,237.0,645.0
9,200.50007947318497,697.9356533097308,800.8721810033094,698.0550064619314,237.0,645.0
10,200.50007947318448,697.9356533097307,800.8721810033094,698.0550064619314,237.0,645.0
11,200.5000794731841,697.9356533097306,800.8721810033094,698.0550064619314,237.0,645.0
12,200.50007947318377,697.9356533097305,800.8721810033094,698.0550064619314,237.0,645.0
13,200.50007947318352,697.9356533097304,800.8721810033094,698.0550064619314,237.0,645.0
14,200.50007947318332,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
15,200.50007947318315,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
16,200.500079473183,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
17,200.5000794731829,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
18,200.5000794731828,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
19,200.50007947318272,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
20,200.50007947318267,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
21,200.5000794731826,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
22,200.50007947318258,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
23,200.50007947318255,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
24,200.50007947318252,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
25,200.5000794731825,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
26,200.50007947318247,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
27,200.50007947318247,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
28,200.50007947318247,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
29,200.50007947318247,697.9356533097302,800.8721810033094,698.0550064619314,237.0,645.0
30,200.50007947318247,697.9356533097302,800.8721810033094,698.0550064619314,259.8333333333333,634.0
31,200.6407495310184,697.9603114553586,800.8721810033094,698.0550064619314,282.66666666666663,624.09
32,200.9233427752101,698.0103723937672,800.8721810033094,698.0550064619314,305.49999999999994,615.27
33,201.35032674910644,698.087581964436,800.8721810033094,698.0550064619314,328.33333333333326,607.54
34,201.6131386216941,698.0218492114427,800.8721810033094,698.0550064619314,351.1666666666666,600.9
35,201.73387131322582,698.0016170179545,800.8721810033094,698.0550064619314,373.9999999999999,595.35
36,201.71337550150204,698.0032818009454,800.8721810033094,698.0550064619314,396.8333333333332,590.89
37,201.55185801775968,698.0305497739865,800.8721810033094,698.0550064619314,419.6666666666665,587.52
38,201.24781610248337,698.0837066542343,800.8721810033094,698.0550064619314,442.49999999999983,585.24
39,201.05776924109736,698.106016492921,800.8721810033094,698.0550064619314,465.33333333333314,584.05
40,201.03109732286882,698.0908115916984,800.8721810033094,698.0550064619314,488.16666666666646,583.9499999999999
41,201.09384540066168,698.0844392526419,800.8721810033094,698.0550064619314,510.9999999999998,584.9399999999999
42,201.16212138579164,698.0750931983538,800.8721810033094,698.0550064619314,533.8333333333331,587.02
43,201.19152983920813,698.0714665515027,800.8721810033094,698.0550064619314,556.6666666666665,590.1899999999999
44,201.18515912823744,698.0723921126006,800.8721810033094,698.0550064619314,579.4999999999999,594.4499999999999
45,201.16601633523734,698.0749175304745,800.8721810033094,698.0550064619314,602.3333333333333,599.8
46,201.15250502974402,698.0766555071041,800.8721810033094,698.0550064619314,625.1666666666666,606.24
47,201.1497702072448,698.076977947331,800.8721810033094,698.0550064619314,648.0,613.77
48,201.15369209729016,698.0764475131039,800.8721810033094,698.0550064619314,670.8333333333334,622.39
