frame,actor1_x,actor1_y,actor1_o,actor2_x,actor2_y,actor2_o,ball_x,ball_y,ball_o
0,199.99750071190877,697.7916720388436,-0.01778324904478577,800.8721810033094,698.0550064619314,0.0005224001175014455,236.0,647.0,0.0
1,199.997500711907,697.7916720388431,-0.01778324904482227,800.8721810033094,698.0550064619314,0.0005224001175014433,236.0,647.0,0.0
2,199.9975007119056,697.7916720388426,-0.017783249044851755,800.8721810033094,698.0550064619314,0.000522400117501441,236.0,647.0,0.0
3,199.99750071190445,697.7916720388423,-0.01778324904487561,800.8721810033094,698.0550064619314,0.0005224001175014387,236.0,647.0,0.0
4,199.9975007119035,697.7916720388421,-0.017783249044895002,800.8721810033094,698.0550064619314,0.0005224001175014364,236.0,647.0,0.0
5,199.99750071190277,697.7916720388419,-0.01778324904491069,800.8721810033094,698.0550064619314,0.0005224001175014342,236.0,647.0,0.0
6,199.99750071190218,697.7916720388416,-0.017783249044923396,800.8721810033094,698.0550064619314,0.0005224001175014319,236.0,647.0,0.0
7,199.9975007119017,697.7916720388415,-0.01778324904493373,800.8721810033094,698.0550064619314,0.0005224001175014296,236.0,647.0,0.0
8,199.9975007119013,697.7916720388414,-0.017783249044942186,800.8721810033094,698.0550064619314,0.0005224001175014273,236.0,647.0,0.0
9,199.99750071190098,697.7916720388413,-0.017783249044948986,800.8721810033094,698.0550064619314,0.000522400117501425,236.0,647.0,0.0
10,199.99750071190073,697.7916720388412,-0.01778324904495457,800.8721810033094,698.0550064619314,0.0005224001175014228,236.0,647.0,0.0
11,199.9975007119005,697.791672038841,-0.017783249044959103,800.8721810033094,698.0550064619314,0.0005224001175014205,236.0,647.0,0.0
12,199.99750071190033,697.791672038841,-0.017783249044962753,800.8721810033094,698.0550064619314,0.0005224001175014182,236.0,647.0,0.0
13,199.9975007119002,697.791672038841,-0.01778324904496574,800.8721810033094,698.0550064619314,0.0005224001175014159,236.0,647.0,0.0
14,199.99750071190007,697.791672038841,-0.01778324904496806,800.8721810033094,698.0550064619314,0.0005224001175014137,236.0,647.0,0.0
15,199.9975007119,697.791672038841,-0.017783249044970056,800.8721810033094,698.0550064619314,0.0005224001175014114,236.0,647.0,0.0
16,199.9975007118999,697.791672038841,-0.01778324904497167,800.8721810033094,698.0550064619314,0.0005224001175014091,236.0,647.0,0.0
17,199.99750071189985,697.791672038841,-0.017783249044972946,800.8721810033094,698.0550064619314,0.0005224001175014068,236.0,647.0,0.0
18,199.9975007118998,697.791672038841,-0.017783249044974008,800.8721810033094,698.0550064619314,0.0005224001175014046,236.0,647.0,0.0
19,199.99750071189976,697.791672038841,-0.017783249044974848,800.8721810033094,698.0550064619314,0.0005224001175014023,236.0,647.0,0.0
20,199.99750071189973,697.791672038841,-0.017783249044975528,800.8721810033094,698.0550064619314,0.0005224001175014,236.0,647.0,0.0
21,199.9975007118997,697.791672038841,-0.017783249044976086,800.8721810033094,698.0550064619314,0.0005224001175013977,236.0,647.0,0.0
22,199.99750071189968,697.791672038841,-0.017783249044976485,800.8721810033094,698.0550064619314,0.0005224001175013955,236.0,647.0,0.0
23,199.99750071189965,697.791672038841,-0.01778324904497688,800.8721810033094,698.0550064619314,0.0005224001175013932,236.0,647.0,0.0
24,199.99750071189965,697.791672038841,-0.01778324904497717,800.8721810033094,698.0550064619314,0.0005224001175013909,236.0,647.0,0.0
25,199.99750071189965,697.791672038841,-0.0177832490449774,800.8721810033094,698.0550064619314,0.0005224001175013886,236.0,647.0,0.0
26,199.99750071189965,697.791672038841,-0.01778324904497763,800.8721810033094,698.0550064619314,0.000522400117501386,236.0,647.0,0.0
27,199.99750071189965,697.791672038841,-0.0177832490449778,800.8721810033094,698.0550064619314,0.0005224001175013849,236.0,647.0,0.0
28,199.99750071189965,697.791672038841,-0.017783249044977974,800.8721810033094,698.0550064619314,0.000522400117501385,236.0,647.0,0.0
29,199.99750071189965,697.791672038841,-0.017783249044978147,800.8721810033094,698.0550064619314,0.0005224001175013869,236.0,647.0,0.0
30,199.99750071189965,697.791672038841,-0.01778324904497827,800.8721810033094,698.0550064619314,0.0005224001175013893,236.0,647.0,0.0
31,199.99750071189965,697.791672038841,-0.01778324904497839,800.8721810033094,698.0550064619314,0.0005224001175013923,236.0,647.0,0.0
32,199.99750071189965,697.791672038841,-0.01778324904497846,800.8721810033094,698.0550064619314,0.0005224001175013945,236.0,647.0,0.0
33,199.99750071189965,697.791672038841,-0.017783249044978525,800.8721810033094,698.0550064619314,0.0005224001175013944,236.0,647.0,0.0
34,199.99750071189965,697.791672038841,-0.017783249044978595,800.8721810033094,698.0550064619314,0.0005224001175013939,236.0,647.0,0.0
35,199.99750071189965,697.791672038841,-0.017783249044978664,800.8721810033094,698.0550064619314,0.0005224001175013927,236.0,647.0,0.0
36,199.99750071189965,697.791672038841,-0.01778324904497873,800.8721810033094,698.0550064619314,0.0005224001175013911,236.0,647.0,0.0
37,199.99750071189965,697.791672038841,-0.017783249044978796,800.8721810033094,698.0550064619314,0.0005224001175013891,236.0,647.0,0.0
38,199.99750071189965,697.791672038841,-0.017783249044978917,800.8721810033094,698.0550064619314,0.0005224001175013861,236.0,647.0,0.0
39,199.99750071189965,697.791672038841,-0.017783249044978983,800.8721810033094,698.0550064619314,0.0005224001175013839,252.5,632.3333333333334,0.0
40,200.13039549294766,697.8136047119737,-0.016167586455427707,800.8721810033094,698.0550064619314,0.0005224001175013827,269.0,618.7566666666667,0.0
41,200.39738040110606,697.8581335954549,-0.012920860647675522,800.8721810033094,698.0550064619314,0.0005224001175013826,285.5,606.27,0.0
42,200.80081508659075,697.9268145005136,-0.008012127418817416,800.8721810033094,698.0550064619314,0.0005224001175013836,302.0,594.8733333333333,0.0
43,201.34423099731004,698.0221209194359,-0.0013945954554356564,800.8721810033094,698.0550064619314,0.0005224001175013858,318.5,584.5666666666667,0.0
44,201.70990867863108,697.9249632908779,0.0030451762585232177,800.8721810033094,698.0550064619314,0.0005224001175013882,335.0,575.35,0.0
