frame,actor1_x,actor1_y,actor1_o,actor2_x,actor2_y,actor2_o,ball_x,ball_y,ball_o
0,200.87218100330455,698.0550064619313,0.0005224001174360709,800.8721810033094,698.0550064619314,0.0005224001175013946,243.0,650.0,0.0
1,200.87218100330455,698.0550064619313,0.000522400117436073,800.8721810033094,698.0550064619314,0.0005224001175013927,243.0,650.0,0.0
2,200.87218100330455,698.0550064619313,0.0005224001174360747,800.8721810033094,698.0550064619314,0.0005224001175013906,243.0,650.0,0.0
3,200.87218100330455,698.0550064619313,0.000522400117436076,800.8721810033094,698.0550064619314,0.0005224001175013884,243.0,650.0,0.0
4,200.87218100330455,698.0550064619313,0.0005224001174360766,800.8721810033094,698.0550064619314,0.0005224001175013854,243.0,650.0,0.0
5,200.87218100330455,698.0550064619313,0.000522400117436077,800.8721810033094,698.0550064619314,0.0005224001175013832,243.0,650.0,0.0
6,200.87218100330455,698.0550064619313,0.0005224001174360772,800.8721810033094,698.0550064619314,0.0005224001175013824,243.0,650.0,0.0
7,200.87218100330455,698.0550064619313,0.0005224001174360767,800.8721810033094,698.0550064619314,0.0005224001175013827,243.0,650.0,0.0
8,200.87218100330455,698.0550064619313,0.0005224001174360761,800.8721810033094,698.0550064619314,0.000522400117501384,243.0,650.0,0.0
9,200.87218100330455,698.0550064619313,0.0005224001174360747,800.8721810033094,698.0550064619314,0.0005224001175013862,243.0,650.0,0.0
10,200.87218100330455,698.0550064619313,0.000522400117436073,800.8721810033094,698.0550064619314,0.0005224001175013886,243.0,650.0,0.0
11,200.87218100330455,698.0550064619313,0.0005224001174360709,800.8721810033094,698.0550064619314,0.0005224001175013908,243.0,650.0,0.0
12,200.87218100330455,698.0550064619313,0.0005224001174360687,800.8721810033094,698.0550064619314,0.0005224001175013938,243.0,650.0,0.0
13,200.87218100330455,698.0550064619313,0.0005224001174360666,800.8721810033094,698.0550064619314,0.0005224001175013951,243.0,650.0,0.0
14,200.87218100330455,698.0550064619313,0.0005224001174360646,800.8721810033094,698.0550064619314,0.0005224001175013951,243.0,650.0,0.0
15,200.87218100330455,698.0550064619313,0.0005224001174360625,800.8721810033094,698.0550064619314,0.0005224001175013935,243.0,650.0,0.0
16,200.87218100330455,698.0550064619313,0.0005224001174360603,800.8721810033094,698.0550064619314,0.0005224001175013912,243.0,650.0,0.0
17,200.87218100330455,698.0550064619313,0.0005224001174360582,800.8721810033094,698.0550064619314,0.000522400117501389,243.0,650.0,0.0
18,200.87218100330455,698.0550064619313,0.000522400117436056,800.8721810033094,698.0550064619314,0.0005224001175013862,243.0,650.0,0.0
19,200.87218100330455,698.0550064619313,0.0005224001174360538,800.8721810033094,698.0550064619314,0.0005224001175013849,243.0,650.0,0.0
20,200.87218100330455,698.0550064619313,0.0005224001174360517,800.8721810033094,698.0550064619314,0.0005224001175013849,243.0,650.0,0.0
21,200.87218100330455,698.0550064619313,0.0005224001174360495,800.8721810033094,698.0550064619314,0.0005224001175013866,243.0,650.0,0.0
22,200.87218100330455,698.0550064619313,0.0005224001174360473,800.8721810033094,698.0550064619314,0.0005224001175013888,243.0,650.0,0.0
23,200.87218100330455,698.0550064619313,0.0005224001174360452,800.8721810033094,698.0550064619314,0.0005224001175013911,243.0,650.0,0.0
24,200.87218100330455,698.0550064619313,0.000522400117436043,800.8721810033094,698.0550064619314,0.0005224001175013944,243.0,650.0,0.0
25,200.87218100330455,698.0550064619313,0.0005224001174360408,800.8721810033094,698.0550064619314,0.0005224001175013958,243.0,650.0,0.0
26,200.87218100330455,698.0550064619313,0.0005224001174360387,800.8721810033094,698.0550064619314,0.0005224001175013956,243.0,650.0,0.0
27,200.87218100330455,698.0550064619313,0.0005224001174360365,800.8721810033094,698.0550064619314,0.0005224001175013934,243.0,650.0,0.0
28,200.87218100330455,698.0550064619313,0.0005224001174360343,800.8721810033094,698.0550064619314,0.0005224001175013911,243.0,650.0,0.0
29,200.87218100330455,698.0550064619313,0.0005224001174360322,800.8721810033094,698.0550064619314,0.0005224001175013888,243.0,650.0,0.0
30,200.87218100330455,698.0550064619313,0.00052240011743603,800.8721810033094,698.0550064619314,0.0005224001175013862,243.0,650.0,0.0
31,200.87218100330455,698.0550064619313,0.0005224001174360278,800.8721810033094,698.0550064619314,0.0005224001175013854,243.0,650.0,0.0
32,200.87218100330455,698.0550064619313,0.0005224001174360257,800.8721810033094,698.0550064619314,0.0005224001175013858,243.0,650.0,0.0
33,200.87218100330455,698.0550064619313,0.0005224001174360235,800.8721810033094,698.0550064619314,0.0005224001175013875,243.0,650.0,0.0
34,200.87218100330455,698.0550064619313,0.0005224001174360213,800.8721810033094,698.0550064619314,0.0005224001175013897,243.0,650.0,0.0
35,200.87218100330455,698.0550064619313,0.0005224001174360191,800.8721810033094,698.0550064619314,0.0005224001175013926,243.0,650.0,0.0
36,200.87218100330455,698.0550064619313,0.000522400117436017,800.8721810033094,698.0550064619314,0.0005224001175013947,243.0,650.0,0.0
37,200.87218100330455,698.0550064619313,0.0005224001174360148,800.8721810033094,698.0550064619314,0.0005224001175013956,262.0,639.3333333333334,0.0
38,200.87218100330455,698.0550064619313,0.0005224001174360126,800.8721810033094,698.0550064619314,0.0005224001175013952,281.0,629.7566666666667,0.0
39,200.87218100330455,698.0550064619313,0.0005224001174360105,800.8721810033094,698.0550064619314,0.0005224001175013935,300.0,621.27,0.0
40,200.87218100330455,698.0550064619313,0.0005224001174360083,800.8721810033094,698.0550064619314,0.0005224001175013911,319.0,613.8733333333333,0.0
41,200.87218100330455,698.0550064619313,0.0005224001174360061,800.8721810033094,698.0550064619314,0.000522400117501389,338.0,607.5666666666667,0.0
42,200.87218100330455,698.0550064619313,0.000522400117436004,800.8721810033094,698.0550064619314,0.0005224001175013861,357.0,602.35,0.0
43,200.87218100330455,698.0550064619313,0.0005224001174360018,800.8721810033094,698.0550064619314,0.0005224001175013841,376.0,598.2233333333334,0.0
44,200.87218100330455,698.0550064619313,0.0005224001174359996,800.8721810033094,698.0550064619314,0.0005224001175013829,395.0,595.1866666666667,0.0
45,200.87218100330455,698.0550064619313,0.0005224001174359975,800.8721810033094,698.0550064619314,0.0005224001175013828,414.0,593.24,0.0
46,200.87218100330455,698.0550064619313,0.0005224001174359953,800.8721810033094,698.0550064619314,0.0005224001175013837,433.0,592.3833333333333,0.0
47,200.87218100330455,698.0550064619313,0.0005224001174359931,800.8721810033094,698.0550064619314,0.0005224001175013857,452.0,592.6166666666667,0.0
48,200.87218100330455,698.0550064619313,0.000522400117435991,800.8721810033094,698.0550064619314,0.0005224001175013881,471.0,593.94,0.0
49,200.87218100330455,698.0550064619313,0.0005224001174359888,800.8721810033094,698.0550064619314,0.0005224001175013904,490.0,596.3533333333334,0.0
