csv_id,frame,actor1_x,actor1_y,actor1_o,actor2_x,actor2_y,actor2_o,ball_x,ball_y,ball_o
0,0,361.9453442088131,728.1017501915535,6.113163609325946e-06,718.9639102477697,728.1017501915535,6.113163609314327e-06,394.3321638190067,706.6786119137834,0.0
0,1,361.9453437819178,728.1014176437811,4.951197997080922e-06,718.9639098208745,728.1014176437811,4.951197997068088e-06,394.3321638190067,706.6786119137834,0.0
0,2,361.9453434365335,728.1011482822777,4.010099369207462e-06,718.96390947549,728.1011482822777,4.010099369190447e-06,394.3321638190067,706.6786119137834,0.0
0,3,361.9453431566231,728.1009301013015,3.247877446702926e-06,718.9639091955796,728.1009301013015,3.247877446685779e-06,394.3321638190067,706.6786119137834,0.0
0,4,361.9453429296965,728.1007533762008,2.6305322827931105e-06,718.963908968653,728.1007533762008,2.6305322827751424e-06,394.3321638190067,706.6786119137834,0.0
0,5,361.9453427458338,728.1006102300503,2.1305291610425752e-06,718.9639087847904,728.1006102300503,2.13052916102398e-06,394.3321638190067,706.6786119137834,0.0
0,6,361.9453425969514,728.1004942826087,1.7255656757803686e-06,718.963908635908,728.1004942826087,1.7255656757643271e-06,394.3321638190067,706.6786119137834,0.0
0,7,361.945342476409,728.1004003659402,1.3975769315962934e-06,718.9639085153656,728.1004003659402,1.397576931582676e-06,394.3321638190067,706.6786119137834,0.0
0,8,361.9453423787919,728.100324294057,1.1319312630580096e-06,718.9639084177485,728.100324294057,1.1319312630419206e-06,394.3321638190067,706.6786119137834,0.0
0,9,361.9453422997236,728.1002626763345,9.167784063540652e-07,718.9639083386802,728.1002626763345,9.16778406340608e-07,394.3321638190067,706.6786119137834,0.0
0,10,361.9453422356767,728.1002127663863,7.425208696543724e-07,718.9639082746332,728.1002127663863,7.425208696398652e-07,394.3321638190067,706.6786119137834,0.0
0,11,361.9453421838011,728.100172339657,6.013855163591278e-07,718.9639082227576,728.100172339657,6.013855163452782e-07,394.3321638190067,706.6786119137834,0.0
0,12,361.94534214178685,728.1001395942719,4.87076654454397e-07,718.9639081807434,728.1001395942719,4.870766544399675e-07,394.3321638190067,706.6786119137834,0.0
0,13,361.94534210776,728.1001130707251,3.94495197784027e-07,718.9639081467164,728.1001130707251,3.944951977700405e-07,394.3321638190067,706.6786119137834,0.0
0,14,361.94534208020127,728.1000915868266,3.195112619020665e-07,718.9639081191577,728.1000915868266,3.195112618839605e-07,394.3321638190067,706.6786119137834,0.0
0,15,361.94534205788057,728.10007418501,2.587799646060863e-07,718.963908096837,728.10007418501,2.587799645896116e-07,394.3321638190067,706.6786119137834,0.0
0,16,361.9453420398023,728.1000600896531,2.0959221783316877e-07,718.9639080787587,728.1000600896531,2.0959221781752058e-07,394.3321638190067,706.6786119137834,0.0
0,17,361.9453420251601,728.1000486725067,1.697538718559034e-07,718.9639080641165,728.1000486725067,1.697538718422014e-07,394.3321638190067,706.6786119137834,0.0
0,18,361.94534201330106,728.1000394246931,1.3748783096071886e-07,718.9639080522575,728.1000394246931,1.3748783094741997e-07,394.3321638190067,706.6786119137834,0.0
0,19,361.9453420036962,728.100031934025,1.113547809267442e-07,718.9639080426526,728.100031934025,1.1135478091138081e-07,394.3321638190067,706.6786119137834,0.0
0,20,361.945341995917,728.100025866633,9.018898770518339e-08,718.9639080348735,728.100025866633,9.018898768599705e-08,394.3321638190067,706.6786119137834,0.0
0,21,361.94534198961645,728.1000209520854,7.304629448615068e-08,718.963908028573,728.1000209520854,7.304629447018125e-08,394.3321638190067,706.6786119137834,0.0
0,22,361.9453419845135,728.1000169713342,5.9162007184164097e-08,718.96390802347,728.1000169713342,5.91620071665221e-08,394.3321638190067,706.6786119137834,0.0
0,23,361.9453419803804,728.100013746952,4.791678189675709e-08,718.9639080193369,728.100013746952,4.7916781881578105e-08,394.3321638190067,706.6786119137834,0.0
0,24,361.94534197703297,728.1000111352236,3.880899784362217e-08,718.9639080159895,728.1000111352236,3.8808997828328e-08,394.3321638190067,706.6786119137834,0.0
0,25,361.9453419743218,728.1000090197408,3.143237801719291e-08,718.9639080132783,728.1000090197408,3.143237800354183e-08,394.3321638190067,706.6786119137834,0.0
0,26,361.945341972126,728.1000073062137,2.5457871222606546e-08,718.9639080110825,728.1000073062137,2.5457871208347785e-08,394.3321638190067,706.6786119137834,0.0
0,27,361.9453419703475,728.100005918268,2.0618970002226887e-08,718.963908009304,728.100005918268,2.0618969986614942e-08,394.3321638190067,706.6786119137834,0.0
0,28,361.9453419689071,728.1000047940412,1.6699823007790172e-08,718.9639080078636,728.1000047940412,1.669982299154265e-08,394.3321638190067,706.6786119137834,0.0
0,29,361.9453419677404,728.1000038834248,1.3525608530230092e-08,718.9639080066969,728.1000038834248,1.3525608514170182e-08,394.3321638190067,706.6786119137834,0.0
0,30,361.9453419667955,728.1000031458316,1.095473361294716e-08,718.963908005752,728.1000031458316,1.0954733600305368e-08,394.3321638190067,706.6786119137834,0.0
0,31,361.94534196603024,728.1000025483859,8.872516410190744e-09,718.9639080049867,728.1000025483859,8.872516395318154e-09,394.3321638190067,706.6786119137834,0.0
0,32,361.9453419654104,728.1000020644589,7.186076028253598e-09,718.9639080043669,728.1000020644589,7.186076011765692e-09,394.3321638190067,706.6786119137834,0.0
0,33,361.9453419649084,728.1000016724812,5.820187066040058e-09,718.9639080038648,728.1000016724812,5.82018705309046e-09,394.3321638190067,706.6786119137834,0.0
0,34,361.9453419645018,728.1000013549818,4.713918977421671e-09,718.9639080034583,728.1000013549818,4.7139189601581575e-09,394.3321638190067,706.6786119137834,0.0
